GPU Model,GPU_TDP,n_shaders,n_SM,deuxieme_GPU_TDP,deuxieme_n_shaders,deuxieme_n_SM,Notes
K20M/Xeon Phi 5110P,225,2496,13,225,960,8,Assumed 4 Texture Mapping Units per SM as SM data is not available for Xeon
"NVIDIA K20/K20x, Xeon Phi 5110P",235,2688,13,225,960,8,Assumed 4 Texture Mapping Units per SM as SM data is not available for Xeon
Xeon Phi 5120D/Nvidia K40,245,960,8,245,2880,60,Assumed 4 Texture Mapping Units per SM as SM data is not available for both Xeon and NVIDIA
NDIVA M2090/Intel Xeon Phi 7120P,250,512,16,300,976,8,Assumed 4 Texture Mapping Units per SM as SM data is not available for Xeon
NVIDIA Tesla K40/Intel Xeon Phi 7120P,245,2880,60,300,976,8,Assumed 4 Texture Mapping Units per SM as SM data is not available for both Xeon and NVIDIA
NVIDIA GH200 Superchip,700,16896,132,,,,CPU/GPU Combo
NVIDIA H100 64GB,700,16896,132,,,,Estimate
NVIDIA H100 80GB HBM3,700,16896,132,,,,Estimate
NVIDIA HGX A100 80GB 500W,500,8192,128,,,,Estimate
NVIDIA HGX H100,700,16896,132,,,,Estimate
Deep Computing Processor,,,,,,,No data
Intel MIC,,,,,,,No data
Matrix-2000,,,,,,,No data
MN-Core,,,,,,,No data
IBM PowerXCell 8i,80,9,1,,,,Potentially a CPU
Intel Xeon Phi,300,912,32,,,,Potentially a CPU
Intel Xeon Phi 3120p,300,912,32,,,,Potentially a CPU
Intel Xeon Phi 31S1P,270,57,1,,,,Potentially a CPU
Intel Xeon Phi 7110,300,61,1,,,,Potentially a CPU
Intel Xeon Phi 7110P,300,61,1,,,,Potentially a CPU
Intel Xeon Phi SE10P,300,61,1,,,,Potentially a CPU
AMD FirePro S10000,375,1792,28,,,,
AMD FirePro S9150,235,2816,44,,,,
AMD Instinct MI210 64 GB,300,6656,104,,,,
AMD Instinct MI250X,500,14080,220,,,,
AMD Instinct MI300A,750,19456,304,,,,
AMD Instinct MI300X,750,19456,304,,,,
AMD Radeon HD 7970,250,2048,32,,,,
AMD Vega 20,100,1280,20,,,,
ATI GPU,188,1600,20,,,,
ATI HD 5870,188,1600,20,,,,
Intel Data Center GPU Max,600,16384,256,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Intel Data Center GPU Max 1550,600,16384,256,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Intel Xeon Phi 5110P,225,960,8,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Intel Xeon Phi 5120D,245,960,8,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Intel Xeon Phi 7120P,300,976,8,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Intel Xeon Phi 7120X,300,976,8,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Intel Xeon Phi SE10X,300,976,8,,,,
NVIDIA 2050,225,448,14,,,,
NVIDIA 2070,225,448,14,,,,
NVIDIA 2075,225,448,14,,,,
NVIDIA 2090,250,512,16,,,,
NVIDIA A100,250,6912,108,,,,
NVIDIA A100 40GB,250,6912,108,,,,
NVIDIA A100 80GB,300,6912,108,,,,
NVIDIA A100 80GB​,300,6912,108,,,,
NVIDIA A100 SXM4 40 GB,400,6912,108,,,,
NVIDIA A100 SXM4 64 GB,400,6912,108,,,,
NVIDIA A100 SXM4 80 GB,400,6912,108,,,,
NVIDIA A40,300,10752,84,,,,
NVIDIA H100,350,14592,114,,,,
NVIDIA H100 80GB,350,14592,114,,,,
NVIDIA H100 80GB PCIe,350,14592,114,,,,
NVIDIA H100 PCIe 80GB,350,14592,114,,,,
NVIDIA H100 SXM5 80 GB,700,16896,132,,,,
NVIDIA H100 SXM5 80GB,700,16896,132,,,,
Nvidia H100 SXM5 94Gb,700,16896,132,,,,
NVIDIA H200,600,16896,132,,,,
NVIDIA K20,235,2688,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Nvidia K20m,225,2496,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA K20x,235,2688,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Nvidia K40,245,2880,60,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Nvidia K40m,245,2880,60,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
Nvidia K80,300,2496,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Quadro RTX8000,260,4608,72,,,,Estimaton
NVIDIA Tesla A100 40G,250,6912,108,,,,
NVIDIA Tesla A100 80G,300,6912,108,,,,
NVIDIA Tesla GP100,235,3584,56,,,,
NVIDIA Tesla K20,235,2688,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Tesla K20m,225,2496,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Tesla K20x,235,2688,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Tesla K40,245,2880,60,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Tesla K40m,245,2880,60,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Tesla K80,300,2496,52,,,,Assumed 4 Texture Mapping Units per SM as SM data is not available
NVIDIA Tesla P100,300,3584,56,,,,
NVIDIA Tesla P100 NVLink,300,3584,56,,,,
NVIDIA Tesla P100 SXM2,300,3584,56,,,,
NVIDIA Tesla P4,75,2560,20,,,,
NVIDIA Tesla P40,250,3840,30,,,,
NVIDIA Tesla V100,300,5376,84,,,,
NVIDIA Tesla V100 SXM2,300,5376,84,,,,
Nvidia Titan Black,250,2880,15,,,,
NVIDIA Volta GV100,250,5120,80,,,,
Nvidia Volta V100,300,5376,84,,,,
PEZY-SC,150,1024,1,,,,Estimation
PEZY-SC2,130,2048,1,,,,Estimation
PEZY-SC2 500Mhz,65,2048,1,,,,Estimation
PEZY-SC2 700Mhz,90,2048,1,,,,Estimation
PEZY-SC3,470,4096,1,,,,Estimation
PEZY-SCnp,70,512,1,,,,Estimation
Preferred Networks MN-Core,330,4096,256,,,,Estimation
