,date,variable,generation_twh
China,01/02/2020,Fossil,386.64
China,01/02/2020,Gas,17.53
China,01/02/2020,Hydro,59.55
China,01/02/2020,Nuclear,23.65
China,01/02/2020,Other Fossil,1.49
China,01/02/2020,Solar,16.36
China,01/02/2020,Wind,33.14
China,01/02/2020,Wind and solar,49.5
China,01/03/2020,Bioenergy,9.83
China,01/03/2020,Clean,188.79
China,01/03/2020,Coal,365.3
China,01/03/2020,Fossil,384.2
China,01/03/2020,Gas,17.42
China,01/03/2020,Hydro,75.66
China,01/03/2020,Nuclear,30.63
China,01/03/2020,Other Fossil,1.48
China,01/03/2020,Solar,23.52
China,01/03/2020,Wind,49.15
China,01/03/2020,Wind and solar,72.67
China,01/04/2020,Bioenergy,10.02
China,01/04/2020,Clean,183.3
China,01/04/2020,Coal,372.25
China,01/04/2020,Fossil,391.51
China,01/04/2020,Gas,17.75
China,01/04/2020,Hydro,75.13
China,01/04/2020,Nuclear,30.77
China,01/04/2020,Other Fossil,1.51
China,01/04/2020,Solar,25.31
China,01/04/2020,Wind,42.07
China,01/04/2020,Wind and solar,67.38
China,01/05/2020,Bioenergy,10.65
China,01/05/2020,Clean,197.36
China,01/05/2020,Coal,395.71
China,01/05/2020,Fossil,416.18
China,01/05/2020,Gas,18.87
China,01/05/2020,Hydro,85.27
China,01/05/2020,Nuclear,31.08
China,01/05/2020,Other Fossil,1.6
China,01/05/2020,Solar,25.02
China,01/05/2020,Wind,45.34
China,01/05/2020,Wind and solar,70.36
China,01/06/2020,Bioenergy,10.91
China,01/06/2020,Clean,223.92
China,01/06/2020,Coal,405.29
China,01/06/2020,Fossil,426.25
China,01/06/2020,Gas,19.32
China,01/06/2020,Hydro,120.93
China,01/06/2020,Nuclear,31.78
China,01/06/2020,Other Fossil,1.64
China,01/06/2020,Solar,23.43
China,01/06/2020,Wind,36.87
China,01/06/2020,Wind and solar,60.3
China,01/07/2020,Bioenergy,11.6
China,01/07/2020,Clean,249.55
China,01/07/2020,Coal,431.03
China,01/07/2020,Fossil,453.33
China,01/07/2020,Gas,20.55
China,01/07/2020,Hydro,148.61
China,01/07/2020,Nuclear,33.41
China,01/07/2020,Other Fossil,1.75
China,01/07/2020,Solar,23.62
China,01/07/2020,Wind,32.31
China,01/07/2020,Wind and solar,55.93
China,01/08/2020,Bioenergy,12.85
China,01/08/2020,Clean,245.68
China,01/08/2020,Coal,477.59
China,01/08/2020,Fossil,502.3
China,01/08/2020,Gas,22.77
China,01/08/2020,Hydro,143.78
China,01/08/2020,Nuclear,33.15
China,01/08/2020,Other Fossil,1.94
China,01/08/2020,Solar,23.87
China,01/08/2020,Wind,32.03
China,01/08/2020,Wind and solar,55.9
China,01/09/2020,Bioenergy,10.67
China,01/09/2020,Clean,237.32
China,01/09/2020,Coal,396.57
China,01/09/2020,Fossil,417.09
China,01/09/2020,Gas,18.91
China,01/09/2020,Hydro,141.3
China,01/09/2020,Nuclear,31.87
China,01/09/2020,Other Fossil,1.61
China,01/09/2020,Solar,23.11
China,01/09/2020,Wind,30.37
China,01/09/2020,Wind and solar,53.48
China,01/10/2020,Bioenergy,10.11
China,01/10/2020,Clean,236.78
China,01/10/2020,Coal,375.75
China,01/10/2020,Fossil,395.18
China,01/10/2020,Gas,17.91
China,01/10/2020,Hydro,135.49
China,01/10/2020,Nuclear,28.68
China,01/10/2020,Other Fossil,1.52
China,01/10/2020,Solar,22.04
China,01/10/2020,Wind,40.46
China,01/10/2020,Wind and solar,62.5
China,01/11/2020,Bioenergy,11.89
China,01/11/2020,Clean,198.65
China,01/11/2020,Coal,441.68
China,01/11/2020,Fossil,464.53
China,01/11/2020,Gas,21.06
China,01/11/2020,Hydro,91.85
China,01/11/2020,Nuclear,32.3
China,01/11/2020,Other Fossil,1.79
China,01/11/2020,Solar,18.85
China,01/11/2020,Wind,43.76
China,01/11/2020,Wind and solar,62.61
China,01/12/2020,Bioenergy,14.25
China,01/12/2020,Clean,193.52
China,01/12/2020,Coal,529.62
China,01/12/2020,Fossil,557.02
China,01/12/2020,Gas,25.25
China,01/12/2020,Hydro,76.73
China,01/12/2020,Nuclear,35.27
China,01/12/2020,Other Fossil,2.15
China,01/12/2020,Solar,19.5
China,01/12/2020,Wind,47.77
China,01/12/2020,Wind and solar,67.27
China,01/01/2021,Bioenergy,13.19
China,01/01/2021,Clean,185.24
China,01/01/2021,Coal,436.61
China,01/01/2021,Fossil,459.67
China,01/01/2021,Gas,21.6
China,01/01/2021,Hydro,64.69
China,01/01/2021,Nuclear,29.2
China,01/01/2021,Other Fossil,1.46
China,01/01/2021,Solar,22.64
China,01/01/2021,Wind,55.52
China,01/01/2021,Wind and solar,78.16
China,01/02/2021,Bioenergy,13.19
China,01/02/2021,Clean,185.41
China,01/02/2021,Coal,436.61
China,01/02/2021,Fossil,459.67
China,01/02/2021,Gas,21.6
China,01/02/2021,Hydro,64.69
China,01/02/2021,Nuclear,29.2
China,01/02/2021,Other Fossil,1.46
China,01/02/2021,Solar,22.69
China,01/02/2021,Wind,55.64
China,01/02/2021,Wind and solar,78.33
China,01/03/2021,Bioenergy,13.87
China,01/03/2021,Clean,200.92
China,01/03/2021,Coal,459
China,01/03/2021,Fossil,483.23
China,01/03/2021,Gas,22.7
China,01/03/2021,Hydro,67.21
China,01/03/2021,Nuclear,34.23
China,01/03/2021,Other Fossil,1.53
China,01/03/2021,Solar,26.23
China,01/03/2021,Wind,59.38
China,01/03/2021,Wind and solar,85.61
China,01/04/2021,Bioenergy,12.68
China,01/04/2021,Clean,210.39
China,01/04/2021,Coal,419.56
China,01/04/2021,Fossil,441.71
China,01/04/2021,Gas,20.75
China,01/04/2021,Hydro,78.19
China,01/04/2021,Nuclear,32.38
China,01/04/2021,Other Fossil,1.4
China,01/04/2021,Solar,27.08
China,01/04/2021,Wind,60.06
China,01/04/2021,Wind and solar,87.14
China,01/05/2021,Bioenergy,12.67
China,01/05/2021,Clean,239.76
China,01/05/2021,Coal,419.2
China,01/05/2021,Fossil,441.34
China,01/05/2021,Gas,20.74
China,01/05/2021,Hydro,96.05
China,01/05/2021,Nuclear,34.24
China,01/05/2021,Other Fossil,1.4
China,01/05/2021,Solar,31.46
China,01/05/2021,Wind,65.34
China,01/05/2021,Wind and solar,96.8
China,01/06/2021,Bioenergy,13.51
China,01/06/2021,Clean,243.78
China,01/06/2021,Coal,447.2
China,01/06/2021,Fossil,470.81
China,01/06/2021,Gas,22.12
China,01/06/2021,Hydro,114.82
China,01/06/2021,Nuclear,35.89
China,01/06/2021,Other Fossil,1.49
China,01/06/2021,Solar,30.85
China,01/06/2021,Wind,48.71
China,01/06/2021,Wind and solar,79.56
China,01/07/2021,Bioenergy,14.73
China,01/07/2021,Clean,272.9
China,01/07/2021,Coal,487.51
China,01/07/2021,Fossil,513.24
China,01/07/2021,Gas,24.11
China,01/07/2021,Hydro,142.83
China,01/07/2021,Nuclear,38.23
China,01/07/2021,Other Fossil,1.62
China,01/07/2021,Solar,30.75
China,01/07/2021,Wind,46.36
China,01/07/2021,Wind and solar,77.11
China,01/08/2021,Bioenergy,14.56
China,01/08/2021,Clean,258.18
China,01/08/2021,Coal,481.73
China,01/08/2021,Fossil,507.17
China,01/08/2021,Gas,23.83
China,01/08/2021,Hydro,137.81
China,01/08/2021,Nuclear,36.54
China,01/08/2021,Other Fossil,1.61
China,01/08/2021,Solar,30.67
China,01/08/2021,Wind,38.6
China,01/08/2021,Wind and solar,69.27
China,01/09/2021,Bioenergy,12.72
China,01/09/2021,Clean,256
China,01/09/2021,Coal,421.09
China,01/09/2021,Fossil,443.32
China,01/09/2021,Gas,20.83
China,01/09/2021,Hydro,141.41
China,01/09/2021,Nuclear,33.25
China,01/09/2021,Other Fossil,1.4
China,01/09/2021,Solar,27.96
China,01/09/2021,Wind,40.66
China,01/09/2021,Wind and solar,68.62
China,01/10/2021,Bioenergy,12.04
China,01/10/2021,Clean,247.17
China,01/10/2021,Coal,398.43
China,01/10/2021,Fossil,419.47
China,01/10/2021,Gas,19.71
China,01/10/2021,Hydro,120.72
China,01/10/2021,Nuclear,33.53
China,01/10/2021,Other Fossil,1.33
China,01/10/2021,Solar,25.08
China,01/10/2021,Wind,55.8
China,01/10/2021,Wind and solar,80.88
China,01/11/2021,Bioenergy,13.08
China,01/11/2021,Clean,225.49
China,01/11/2021,Coal,432.91
China,01/11/2021,Fossil,455.76
China,01/11/2021,Gas,21.41
China,01/11/2021,Hydro,90.85
China,01/11/2021,Nuclear,33.63
China,01/11/2021,Other Fossil,1.44
China,01/11/2021,Solar,25.9
China,01/11/2021,Wind,62.03
China,01/11/2021,Wind and solar,87.93
China,01/12/2021,Bioenergy,15.28
China,01/12/2021,Clean,218.05
China,01/12/2021,Coal,505.84
China,01/12/2021,Fossil,532.55
China,01/12/2021,Gas,25.02
China,01/12/2021,Hydro,72.11
China,01/12/2021,Nuclear,37.27
China,01/12/2021,Other Fossil,1.69
China,01/12/2021,Solar,25.71
China,01/12/2021,Wind,67.68
China,01/12/2021,Wind and solar,93.39
China,01/01/2022,Bioenergy,15.15
China,01/01/2022,Clean,200.82
China,01/01/2022,Coal,460.61
China,01/01/2022,Fossil,484.16
China,01/01/2022,Gas,22.23
China,01/01/2022,Hydro,70.74
China,01/01/2022,Nuclear,32
China,01/01/2022,Other Fossil,1.32
China,01/01/2022,Solar,27.76
China,01/01/2022,Wind,55.17
China,01/01/2022,Wind and solar,82.93
China,01/02/2022,Bioenergy,15.15
China,01/02/2022,Clean,200.32
China,01/02/2022,Coal,460.61
China,01/02/2022,Fossil,484.16
China,01/02/2022,Gas,22.23
China,01/02/2022,Hydro,70.74
China,01/02/2022,Nuclear,32
China,01/02/2022,Other Fossil,1.32
China,01/02/2022,Solar,27.76
China,01/02/2022,Wind,54.67
China,01/02/2022,Wind and solar,82.43
China,01/03/2022,Bioenergy,14.31
China,01/03/2022,Clean,243.05
China,01/03/2022,Coal,435.1
China,01/03/2022,Fossil,457.35
China,01/03/2022,Gas,21
China,01/03/2022,Hydro,80.89
China,01/03/2022,Nuclear,34.96
China,01/03/2022,Other Fossil,1.25
China,01/03/2022,Solar,35.03
China,01/03/2022,Wind,77.86
China,01/03/2022,Wind and solar,112.89
China,01/04/2022,Bioenergy,12.23
China,01/04/2022,Clean,249.46
China,01/04/2022,Coal,371.84
China,01/04/2022,Fossil,390.86
China,01/04/2022,Gas,17.95
China,01/04/2022,Hydro,92.25
China,01/04/2022,Nuclear,32.66
China,01/04/2022,Other Fossil,1.07
China,01/04/2022,Solar,39.29
China,01/04/2022,Wind,73.03
China,01/04/2022,Wind and solar,112.32
China,01/05/2022,Bioenergy,12.34
China,01/05/2022,Clean,277.4
China,01/05/2022,Coal,375.08
China,01/05/2022,Fossil,394.27
China,01/05/2022,Gas,18.11
China,01/05/2022,Hydro,122.24
China,01/05/2022,Nuclear,34.7
China,01/05/2022,Other Fossil,1.08
China,01/05/2022,Solar,39.69
China,01/05/2022,Wind,68.43
China,01/05/2022,Wind and solar,108.12
China,01/06/2022,Bioenergy,13.89
China,01/06/2022,Clean,294.6
China,01/06/2022,Coal,422.35
China,01/06/2022,Fossil,443.95
China,01/06/2022,Gas,20.39
China,01/06/2022,Hydro,148.58
China,01/06/2022,Nuclear,32.65
China,01/06/2022,Other Fossil,1.21
China,01/06/2022,Solar,39.56
China,01/06/2022,Wind,59.92
China,01/06/2022,Wind and solar,99.48
China,01/07/2022,Bioenergy,16.98
China,01/07/2022,Clean,293.05
China,01/07/2022,Coal,516.09
China,01/07/2022,Fossil,542.48
China,01/07/2022,Gas,24.91
China,01/07/2022,Hydro,146.82
China,01/07/2022,Nuclear,36.97
China,01/07/2022,Other Fossil,1.48
China,01/07/2022,Solar,40.67
China,01/07/2022,Wind,51.61
China,01/07/2022,Wind and solar,92.28
China,01/08/2022,Bioenergy,18.28
China,01/08/2022,Clean,270.47
China,01/08/2022,Coal,555.61
China,01/08/2022,Fossil,584.02
China,01/08/2022,Gas,26.82
China,01/08/2022,Hydro,123.73
China,01/08/2022,Nuclear,36.33
China,01/08/2022,Other Fossil,1.59
China,01/08/2022,Solar,39.86
China,01/08/2022,Wind,52.27
China,01/08/2022,Wind and solar,92.13
China,01/09/2022,Bioenergy,14.75
China,01/09/2022,Clean,239.81
China,01/09/2022,Coal,448.43
China,01/09/2022,Fossil,471.37
China,01/09/2022,Gas,21.65
China,01/09/2022,Hydro,100.13
China,01/09/2022,Nuclear,32.36
China,01/09/2022,Other Fossil,1.29
China,01/09/2022,Solar,39.28
China,01/09/2022,Wind,53.29
China,01/09/2022,Wind and solar,92.57
China,01/10/2022,Bioenergy,13.58
China,01/10/2022,Clean,255.1
China,01/10/2022,Coal,412.82
China,01/10/2022,Fossil,433.93
China,01/10/2022,Gas,19.93
China,01/10/2022,Hydro,100.37
China,01/10/2022,Nuclear,36.01
China,01/10/2022,Other Fossil,1.18
China,01/10/2022,Solar,36.56
China,01/10/2022,Wind,68.58
China,01/10/2022,Wind and solar,105.14
China,01/11/2022,Bioenergy,14.49
China,01/11/2022,Clean,228.3
China,01/11/2022,Coal,440.56
China,01/11/2022,Fossil,463.09
China,01/11/2022,Gas,21.27
China,01/11/2022,Hydro,78.74
China,01/11/2022,Nuclear,37.36
China,01/11/2022,Other Fossil,1.26
China,01/11/2022,Solar,30.29
China,01/11/2022,Wind,67.42
China,01/11/2022,Wind and solar,97.71
China,01/12/2022,Bioenergy,16.96
China,01/12/2022,Clean,244.23
China,01/12/2022,Coal,515.6
China,01/12/2022,Fossil,541.97
China,01/12/2022,Gas,24.89
China,01/12/2022,Hydro,75.61
China,01/12/2022,Nuclear,39.73
China,01/12/2022,Other Fossil,1.48
China,01/12/2022,Solar,31.52
China,01/12/2022,Wind,80.41
China,01/12/2022,Wind and solar,111.93
China,01/01/2023,Bioenergy,14.94
China,01/01/2023,Clean,229.65
China,01/01/2023,Coal,454.17
China,01/01/2023,Fossil,477.39
China,01/01/2023,Gas,21.92
China,01/01/2023,Hydro,68.93
China,01/01/2023,Nuclear,33.39
China,01/01/2023,Other Fossil,1.3
China,01/01/2023,Solar,37.43
China,01/01/2023,Wind,74.96
China,01/01/2023,Wind and solar,112.39
China,01/02/2023,Bioenergy,14.94
China,01/02/2023,Clean,229.63
China,01/02/2023,Coal,454.17
China,01/02/2023,Fossil,477.39
China,01/02/2023,Gas,21.92
China,01/02/2023,Hydro,68.93
China,01/02/2023,Nuclear,33.39
China,01/02/2023,Other Fossil,1.3
China,01/02/2023,Solar,37.57
China,01/02/2023,Wind,74.8
China,01/02/2023,Wind and solar,112.37
China,01/03/2023,Bioenergy,15.7
China,01/03/2023,Clean,250.9
China,01/03/2023,Coal,477.37
China,01/03/2023,Fossil,501.78
China,01/03/2023,Gas,23.04
China,01/03/2023,Hydro,69.06
China,01/03/2023,Nuclear,36.57
China,01/03/2023,Other Fossil,1.37
China,01/03/2023,Solar,47.7
China,01/03/2023,Wind,81.87
China,01/03/2023,Wind and solar,129.57
China,01/04/2023,Bioenergy,13.71
China,01/04/2023,Clean,256.57
China,01/04/2023,Coal,416.95
China,01/04/2023,Fossil,438.28
China,01/04/2023,Gas,20.13
China,01/04/2023,Hydro,68.99
China,01/04/2023,Nuclear,34.53
China,01/04/2023,Other Fossil,1.2
China,01/04/2023,Solar,46.1
China,01/04/2023,Wind,93.24
China,01/04/2023,Wind and solar,139.34
China,01/05/2023,Bioenergy,14.39
China,01/05/2023,Clean,268.1
China,01/05/2023,Coal,437.47
China,01/05/2023,Fossil,459.85
China,01/05/2023,Gas,21.12
China,01/05/2023,Hydro,82.97
China,01/05/2023,Nuclear,36.9
China,01/05/2023,Other Fossil,1.26
China,01/05/2023,Solar,49.71
China,01/05/2023,Wind,84.13
China,01/05/2023,Wind and solar,133.84
China,01/06/2023,Bioenergy,15.96
China,01/06/2023,Clean,268.4
China,01/06/2023,Coal,485.16
China,01/06/2023,Fossil,509.97
China,01/06/2023,Gas,23.42
China,01/06/2023,Hydro,99.49
China,01/06/2023,Nuclear,37.14
China,01/06/2023,Other Fossil,1.39
China,01/06/2023,Solar,53.57
China,01/06/2023,Wind,62.24
China,01/06/2023,Wind and solar,115.81
China,01/07/2023,Bioenergy,18.34
China,01/07/2023,Clean,302.57
China,01/07/2023,Coal,557.68
China,01/07/2023,Fossil,586.2
China,01/07/2023,Gas,26.92
China,01/07/2023,Hydro,122.21
China,01/07/2023,Nuclear,38.03
China,01/07/2023,Other Fossil,1.6
China,01/07/2023,Solar,55.7
China,01/07/2023,Wind,68.29
China,01/07/2023,Wind and solar,123.99
China,01/08/2023,Bioenergy,17.99
China,01/08/2023,Clean,310.42
China,01/08/2023,Coal,546.98
China,01/08/2023,Fossil,574.95
China,01/08/2023,Gas,26.4
China,01/08/2023,Hydro,147.67
China,01/08/2023,Nuclear,38.33
China,01/08/2023,Other Fossil,1.57
China,01/08/2023,Solar,57.4
China,01/08/2023,Wind,49.03
China,01/08/2023,Wind and solar,106.43
China,01/09/2023,Bioenergy,15.19
China,01/09/2023,Clean,297.19
China,01/09/2023,Coal,461.78
China,01/09/2023,Fossil,485.4
China,01/09/2023,Gas,22.29
China,01/09/2023,Hydro,140.43
China,01/09/2023,Nuclear,34.54
China,01/09/2023,Other Fossil,1.33
China,01/09/2023,Solar,52.12
China,01/09/2023,Wind,54.91
China,01/09/2023,Wind and solar,107.03
China,01/10/2023,Bioenergy,14.22
China,01/10/2023,Clean,288.28
China,01/10/2023,Coal,432.3
China,01/10/2023,Fossil,454.41
China,01/10/2023,Gas,20.87
China,01/10/2023,Hydro,123.29
China,01/10/2023,Nuclear,35.94
China,01/10/2023,Other Fossil,1.24
China,01/10/2023,Solar,52.29
China,01/10/2023,Wind,62.54
China,01/10/2023,Wind and solar,114.83
China,01/11/2023,Bioenergy,15.48
China,01/11/2023,Clean,274.73
China,01/11/2023,Coal,470.77
China,01/11/2023,Fossil,494.85
China,01/11/2023,Gas,22.73
China,01/11/2023,Hydro,83.86
China,01/11/2023,Nuclear,36.45
China,01/11/2023,Other Fossil,1.35
China,01/11/2023,Solar,49.48
China,01/11/2023,Wind,89.46
China,01/11/2023,Wind and solar,138.94
China,01/12/2023,Bioenergy,18.61
China,01/12/2023,Clean,270.54
China,01/12/2023,Coal,565.9
China,01/12/2023,Fossil,594.84
China,01/12/2023,Gas,27.32
China,01/12/2023,Hydro,78.41
China,01/12/2023,Nuclear,38.05
China,01/12/2023,Other Fossil,1.62
China,01/12/2023,Solar,45.08
China,01/12/2023,Wind,90.39
China,01/12/2023,Wind and solar,135.47
China,01/01/2024,Bioenergy,16.45
China,01/01/2024,Clean,257.23
China,01/01/2024,Coal,500.12
China,01/01/2024,Fossil,525.7
China,01/01/2024,Gas,24.14
China,01/01/2024,Hydro,69.9
China,01/01/2024,Nuclear,34.63
China,01/01/2024,Other Fossil,1.44
China,01/01/2024,Solar,52.37
China,01/01/2024,Wind,83.88
China,01/01/2024,Wind and solar,136.25
China,01/02/2024,Bioenergy,16.45
China,01/02/2024,Clean,256.75
China,01/02/2024,Coal,500.12
China,01/02/2024,Fossil,525.7
China,01/02/2024,Gas,24.14
China,01/02/2024,Hydro,69.9
China,01/02/2024,Nuclear,34.63
China,01/02/2024,Other Fossil,1.44
China,01/02/2024,Solar,52.57
China,01/02/2024,Wind,83.2
China,01/02/2024,Wind and solar,135.77
China,01/03/2024,Bioenergy,15.88
China,01/03/2024,Clean,288.51
China,01/03/2024,Coal,482.68
China,01/03/2024,Fossil,507.37
China,01/03/2024,Gas,23.3
China,01/03/2024,Hydro,71.9
China,01/03/2024,Nuclear,34.81
China,01/03/2024,Other Fossil,1.39
China,01/03/2024,Solar,66.79
China,01/03/2024,Wind,99.13
China,01/03/2024,Wind and solar,165.92
China,01/04/2024,Bioenergy,13.98
China,01/04/2024,Clean,290.95
China,01/04/2024,Coal,424.95
China,01/04/2024,Fossil,446.68
China,01/04/2024,Gas,20.51
China,01/04/2024,Hydro,84.3
China,01/04/2024,Nuclear,36.57
China,01/04/2024,Other Fossil,1.22
China,01/04/2024,Solar,67.66
China,01/04/2024,Wind,88.44
China,01/04/2024,Wind and solar,156.1
China,01/05/2024,Bioenergy,13.85
China,01/05/2024,Clean,327.87
China,01/05/2024,Coal,421.21
China,01/05/2024,Fossil,442.75
China,01/05/2024,Gas,20.33
China,01/05/2024,Hydro,116.12
China,01/05/2024,Nuclear,36.01
China,01/05/2024,Other Fossil,1.21
China,01/05/2024,Solar,77.57
China,01/05/2024,Wind,84.32
China,01/05/2024,Wind and solar,161.89
China,01/06/2024,Bioenergy,14.87
China,01/06/2024,Clean,345.07
China,01/06/2024,Coal,452
China,01/06/2024,Fossil,475.12
China,01/06/2024,Gas,21.82
China,01/06/2024,Hydro,145.18
China,01/06/2024,Nuclear,35.65
China,01/06/2024,Other Fossil,1.3
China,01/06/2024,Solar,76.46
China,01/06/2024,Wind,72.91
China,01/06/2024,Wind and solar,149.37
China,01/07/2024,Bioenergy,17.55
China,01/07/2024,Clean,375.57
China,01/07/2024,Coal,533.59
China,01/07/2024,Fossil,560.88
China,01/07/2024,Gas,25.76
China,01/07/2024,Hydro,168.09
China,01/07/2024,Nuclear,39.67
China,01/07/2024,Other Fossil,1.53
China,01/07/2024,Solar,78.35
China,01/07/2024,Wind,71.91
China,01/07/2024,Wind and solar,150.26
China,01/08/2024,Bioenergy,18.77
China,01/08/2024,Clean,363.13
China,01/08/2024,Coal,570.68
China,01/08/2024,Fossil,599.87
China,01/08/2024,Gas,27.55
China,01/08/2024,Hydro,165.08
China,01/08/2024,Nuclear,40.21
China,01/08/2024,Other Fossil,1.64
China,01/08/2024,Solar,84.4
China,01/08/2024,Wind,54.67
China,01/08/2024,Wind and solar,139.07
China,01/09/2024,Bioenergy,16.64
China,01/09/2024,Clean,319.88
China,01/09/2024,Coal,505.95
China,01/09/2024,Fossil,531.82
China,01/09/2024,Gas,24.42
China,01/09/2024,Hydro,121.11
China,01/09/2024,Nuclear,35.51
China,01/09/2024,Other Fossil,1.45
China,01/09/2024,Solar,70.95
China,01/09/2024,Wind,75.67
China,01/09/2024,Wind and solar,146.62
China,01/10/2024,Bioenergy,14.56
China,01/10/2024,Clean,315.81
China,01/10/2024,Coal,442.76
China,01/10/2024,Fossil,465.4
China,01/10/2024,Gas,21.37
China,01/10/2024,Hydro,105.95
China,01/10/2024,Nuclear,36.73
China,01/10/2024,Other Fossil,1.27
China,01/10/2024,Solar,71.12
China,01/10/2024,Wind,87.45
China,01/10/2024,Wind and solar,158.57
China,01/11/2024,Bioenergy,15.8
China,01/11/2024,Clean,292.44
China,01/11/2024,Coal,480.27
China,01/11/2024,Fossil,504.83
China,01/11/2024,Gas,23.18
China,01/11/2024,Hydro,83.08
China,01/11/2024,Nuclear,37.58
China,01/11/2024,Other Fossil,1.38
China,01/11/2024,Solar,65.91
China,01/11/2024,Wind,90.07
China,01/11/2024,Wind and solar,155.98
China,01/12/2024,Bioenergy,18.24
China,01/12/2024,Clean,314.05
China,01/12/2024,Coal,554.55
China,01/12/2024,Fossil,582.91
China,01/12/2024,Gas,26.77
China,01/12/2024,Hydro,83.54
China,01/12/2024,Nuclear,42.39
China,01/12/2024,Other Fossil,1.59
China,01/12/2024,Solar,69.94
China,01/12/2024,Wind,99.94
China,01/12/2024,Wind and solar,169.88
China,01/01/2025,Bioenergy,15.59
China,01/01/2025,Clean,303.55
China,01/01/2025,Coal,473.99
China,01/01/2025,Fossil,498.23
China,01/01/2025,Gas,22.88
China,01/01/2025,Hydro,73.77
China,01/01/2025,Nuclear,37.3
China,01/01/2025,Other Fossil,1.36
China,01/01/2025,Solar,80.55
China,01/01/2025,Wind,96.34
China,01/01/2025,Wind and solar,176.89
China,01/02/2025,Bioenergy,15.59
China,01/02/2025,Clean,303.73
China,01/02/2025,Coal,473.99
China,01/02/2025,Fossil,498.23
China,01/02/2025,Gas,22.88
China,01/02/2025,Hydro,73.77
China,01/02/2025,Nuclear,37.3
China,01/02/2025,Other Fossil,1.36
China,01/02/2025,Solar,80.84
China,01/02/2025,Wind,96.23
China,01/02/2025,Wind and solar,177.07
